"id","店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類","lat","lng"
"676","ブティックＨ２Ｏ","Boutique H2O","田辺市下万呂577‐1Sunfest PLAZA 1階 ﾃﾅﾝﾄ","SunfestPLAZA 1F tenant, 577-1 Shimomaro, Tanabe-shi","熊野エリア","ショッピング","N","33.739887","135.392075"
"677","道の駅椿はなの湯","Michinoeki Tsubakihananoyu","西牟婁郡白浜町椿1058‐1","1058-1 Tsubaki, Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング,観光スポット,その他","N","33.60191","135.388779"
"678","夢飛行","Yumehiko","海南市名高537‐4堀田ﾋﾞﾙ 2階","Hotta Bldg. 2F, 537-4 Nataka, Kainan-shi","和歌山市エリア","その他","N","34.154724","135.211487"
"679","おしゃれ空間","Oshare kukan","日高郡日高町大字荊木3‐9おしゃれ空間","Osyare kukan, 3-9 Ibaraki, Hidagacho, Hidaka-gun","有田・湯浅・日高エリア","その他","N","33.922497","135.150696"
"680","潮音寺","choon temple","西牟婁郡すさみ町江住959","959 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","N","33.515518","135.601379"
"681","和歌山国際厚生学院","Wakayama kokusai kosei gakuin","和歌山市北野229‐2","229-2 Kitano, Wakayama-shi","和歌山市エリア","その他","N","34.264881","135.244278"
"682","Ｍ・Ｋ・ｆａｒｍ","M.K. farm","和歌山市中ﾉ店南ﾉ丁10","10 Minaminocho, Nakanotana, Wakayama-shi","和歌山市エリア","ショッピング","N","34.233524","135.175919"
"683","キタノヤ化粧品店","Kitanoya cosmetics store","東牟婁郡串本町串本940‐2","940-2 Kushimoto, Kushimotocho Higashimuro-gun ","白浜・串本エリア","ショッピング","N","33.469299","135.780228"
"684","伊勢部柿本神社","Isebekakimoto shrine","海南市日方600","600 Hikata, Kainan-shi","和歌山市エリア","観光スポット,その他","N","34.162743","135.213791"
"685","婦久家","Fukuya","海南市多田121","121 Ota, Kainan-shi","和歌山市エリア","グルメ","N","34.176479","135.232269"
"686","ＰＣハウスＫｉｔ","PC house kit","有田郡有田川町大字下津野1228‐6","1228-6 Shimotsuno, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","ショッピング","N","34.06086","135.212326"
"687","はーとぼっくす工房","Heart box workshop","和歌山市布施屋729","729 Hoshiya, Wakayama-shi","和歌山市エリア","ショッピング","N","34.243839","135.256836"
"688","メガネストック勝浦店","Eye glasses stock Katsuura store","東牟婁郡 那智勝浦町大字天満1丁目75田中旦ﾋﾞﾙ 1階","Tanaka Akira Bldg. 1F, 1-75 Tenman, Nachikatsuuracho, Higashimuro-gun","熊野エリア","ショッピング","N","33.632053","135.936066"
"689","ＲＯＳＳＯ","Rosso","和歌山市次郎丸57‐1ﾈｵﾊｲﾂ次郎丸 1階","Neo Heights Jiromaru 1F, 57-1 Jiromaru, Wakayama-shi","和歌山市エリア","その他","N","34.254738","135.148102"
"690","ｈａｉｒ・ａ．ｔ","Hair a.t","和歌山市黒田255‐5YOUbuld黒田 1階","YOUbuld Kuroda 1F, 255-5 Kuroda, Wakayama-shi","和歌山市エリア","その他","N","34.236584","135.196365"
"691","紡","Tsumugi","岩出市川尻14‐1ﾌｫﾚｽﾄﾎﾞｯｸｽ1階","Forest Box 1F, 14-1 Kawashiri, Iwade-shi","和歌山市エリア","グルメ","N","34.269142","135.309631"
"692","エスクラス","S class","岩出市今中154‐10","154-10 Imanaka, Iwade-shi","和歌山市エリア","その他","N","34.273621","135.312775"
"693","ルナ生物店","Runa pet shop","和歌山市西高松2丁目9‐6","2-9-6 Nishitakamatsu, Wakayama-shi","和歌山市エリア","ショッピング","N","34.205265","135.1707"
"694","株式会社成美田辺店","Narumi Tanabe store Co., Ltd.","田辺市神島台9‐14","Narumi Co., Ltd., 9-14 Kashimadai, Tanabe-shi","熊野エリア","ショッピング","N","33.70356","135.404037"
"695","藤井計算実務学校","Fujii soroban school","和歌山市太田586","586 Oda, Wakayama-shi","和歌山市エリア","その他","N","34.231453","135.198441"
"696","個別指導Ａｘｉｓ紀伊御坊駅前校","Private lesson Axis cram school  Kiigoboekimae branch","御坊市薗112‐1","112-1, Sono Gobo-shi","有田・湯浅・日高エリア","その他","N","33.893944","135.154099"
"697","めはりや","Mehariya restaurant","和歌山市太田2丁目14‐9東不動産太田ﾋﾞﾙ 103号","Higashi fudosan Ota Bldg. Rm. 103, 2-14-9 Oda, Wakayama-shi","和歌山市エリア","グルメ","N","34.23214","135.195892"
"698","有限会社コクピットきねいわ","Cockpit Kineiwa Co., Ltd. Bridgestone retail","田辺市新庄町437‐138","437-138 Shinjocho, Tanabe-shi","熊野エリア","その他","N","33.719959","135.400238"
"699","株式会社シータイガー・トービマリン","Sea-Tiger Tobi marine Co., Ltd.","田辺市天神崎38‐20ｼｰﾀｲｶﾞｰｸﾙﾌｨｽﾎﾟｰﾄ","Sea-Tiger Kulfi sport, 38-20 Tenjinsaki, Tanabe-shi","熊野エリア","その他","N","33.729309","135.358612"
"700","菓子工房エヌプリュス","Kashikobo N'plus sweets","橋本市高野口町大野866‐6","866-6 Koyaguchicho Ono, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N","34.308941","135.553391"
"701","天理教　竹南水分教会","Tenrikyo Takenansuibun church","海南市冷水492‐3","492-3 Shimizu, Kainan-shi","和歌山市エリア","その他","N","34.142155","135.181427"
"702","西田貞蔵商店","Nishida teizo shoten furniture store","御坊市湯川町財部654‐4","654-4 Yukawachotakara, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N","33.899082","135.152557"
"703","モトブーイング","Motobooing motorcycle","田辺市上の山2丁目15‐37","2-15-37 Uenoyama, Tanabe-shi","熊野エリア","その他","N","33.735207","135.362686"
"704","カットスタジオ・ケイズ","Cut Studio K's","岩出市山1005‐3","1005-3 Yama, Iwade-shi","和歌山市エリア","その他","N","34.27253","135.275818"
"705","ＮＴＴ海南ビル","NTT Kainan building","海南市日方1523-2","1523-2 Hikata, Kainan-shi","和歌山市エリア","その他","N","34.153728","135.209595"
"706","ＮＴＴ和歌山東ビル","NTT Wakayama Higashi Bldg.","和歌山市太田287","287 Oda, Wakayama-shi","和歌山市エリア","その他","N","34.231136","135.199417"
"707","箕島屋支店","Minoshimaya branch fishing tackle shop","御坊市薗120‐8","120-8 Sono, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N","33.895584","135.153763"
"708","シティ　ｉｎｎ　ＷＡＫＡＹＡＭＡ","City inn WAKAYAMA","和歌山市吉田432","432 Yoshida, Wakayama-shi","和歌山市エリア","宿泊","N","34.234814","135.189529"
"709","メガネのヒラミ","Optician Hirami","新宮市新宮6853‐22","6853-22 Shingu, Shingu-shi","熊野エリア","ショッピング","N","33.711544","135.988037"
"710","ＮＴＴ宇須ビル","NTT Uzu building","和歌山市宇須1-5-41","1-5-41 Uzu, Wakayama-shi","和歌山市エリア","その他","N","34.210518","135.173355"
"711","アノマーティコ","Aromatico Beauty Parlor","和歌山市美園町5丁目12-7","5-12-7 Misonocho, Wakayama-shi","和歌山市エリア","その他","N","34.231228","135.190903"
"712","七田チャイルドアカデミー紀三井寺教室","Shichida child academy Kimiidera school","和歌山市布引618‐1","618-1 Nunohiki, Wakayama-shi","和歌山市エリア","その他","N","34.174404","135.185471"
"713","中原歯科医院","Nakahara dental clinic","和歌山市西庄387‐1","387-1 Nishinosho, Wakayama-shi","和歌山市エリア","その他","N","34.258259","135.11319"
"714","センゴクベンダー本社","Sengoku Vender head office vending machine operation","和歌山市出島409-5","409-5 Dejima, Wakayama-shi","和歌山市エリア","その他","N","34.247391","135.215454"
"715","ＦＬＡＴ-ＨＡＩＲ・ＣＵＴＴＥＲＳ","Flat-Haircutters hair salon","紀の川市名手市場714‐1","714-1 Nateichiba, Kinokawa-shi","和歌山市エリア","その他","N","34.275742","135.434235"
"716","久保呉服店","Kubo Kimono shop","和歌山市友田町2丁目61","2-61 Tomodacho, Wakayama-shi","和歌山市エリア","ショッピング","N","34.232899","135.185791"
"717","和歌山市役所　東庁舎２階","Wakayama City Hall East Building 2F","和歌山市七番丁23番地","23 Shichibancho Wakayama-shi","和歌山市エリア","その他","N","34.230434","135.171082"
"718","岡本整骨院","Okamoto bone setting clinic","海南市船尾194‐96","194-96 Funoo, Kainan-shi","和歌山市エリア","その他","N","34.158951","135.207184"
"719","岩橋歯科医院","Iwahashi dental clinic","和歌山市三木町中ﾉ丁1LETOﾌﾟﾗｻﾞ 10階","LETO Plaza 10F, 1 Nakanocho, Mikimachi, Wakayama-shi","和歌山市エリア","その他","N","34.230881","135.178192"
"720","かわの動物病院","Kawano animal hospital","和歌山市紀三井寺535-15","535-15 Kimiidera, Wakayama-shi","和歌山市エリア","その他","N","34.177204","135.187164"
"721","西田電気店","Nishida denkiten Electronics Store","東牟婁郡 古座川町高池27‐4","27-4 Takaike, Kozagawacho, Higashimuro-gun","白浜・串本エリア","ショッピング","N","33.532391","135.814468"
"722","オザキ自動車","Ozaki Automobile Repair Shop","東牟婁郡 串本町姫603","603 Hime, Kushimotocho, Higashimuro-gun","白浜・串本エリア","その他","N","33.501232","135.798508"
"723","きくや旅館","Watada Auto","伊都郡 かつらぎ町大字妙寺440","440 Myoji, Katsuragicho, Ito-gun","高野山エリア","その他","N","34.297012","135.520157"
"724","ＫＳサービス","KS service","和歌山市栗栖322‐5","322-5 Kurosu, Wakayama-shi","和歌山市エリア","その他","N","34.236805","135.221344"
"725","南川モータース","Minagawa motors","和歌山市東長町2丁目35","2-35 Higashinagamachi, Wakayama-shi","和歌山市エリア","その他","N","34.227592","135.163544"
"726","イズミカーズ","Izumi Cars","橋本市高野口町向島43‐1","43-1 Mukojima, Koyaguchicho, Hashimoto-shi","高野山エリア","その他","N","34.300251","135.555237"
"727","Ｋ―ＭＡＸ・ＡＵＴＯ","K-MAX AUTO","和歌山市口須佐16‐7","16-7 Kuchisusa, Wakayama-shi","和歌山市エリア","その他","N","34.20277","135.246078"
"728","伸洋自動車","Shinyo automobile","田辺市下三栖1310‐3","1310-3 Shimomisu, Tanabe-shi","熊野エリア","その他","N","33.734718","135.424225"
"729","東伸自動車","Toshin automobile","岩出市森114‐3","114-3 Mori, Iwade-shi","和歌山市エリア","その他","N","34.27087","135.310349"
"730","スズキ商事株式会社","Suzuki Shoji Co., Ltd.","和歌山市小雑賀598","598 Kozaika, Wakayama-shi","和歌山市エリア","その他","N","34.201786","135.185486"
"731","有限会社昭和自動車整備工場","Showa jidosha seibi kojyo Co., Ltd.","西牟婁郡白浜町大古494‐2","494-2 Oofuru, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.571476","135.453751"
"732","プチショップ有田店","Petit Shop Aria branch liquor shop","有田市初島町浜1376‐1","1376-1 Hama, Hatsushimacho, Arida-shi","有田・湯浅・日高エリア","ショッピング","N","34.10078","135.117325"
"733","カーメンテナンスグッドスピード","Can maintenance Good Speed","田辺市文里1丁目18‐6","1-18-6 Mori, Tanabe-shi","熊野エリア","その他","N","33.718876","135.391129"
"734","岸野酒造","Kishinev brewing","御坊市御坊60","60 Gobo, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N","33.886806","135.158051"
"735","ＲＳモーター","RS Motor","田辺市芳養松原1丁目1-19","1-1-19 Hayamatsubara, Tanabe-shi","熊野エリア","その他","N","33.741508","135.356445"
"736","堀酒店","Hori Liquor Shop","東牟婁郡串本町串本1900‐1","1900-1 Kushimoto, Kushimotocho, Higashimuro-gun","白浜・串本エリア","ショッピング","N","33.465618","135.780701"
"737","森下商店","Morishita Store","西牟婁郡すさみ町江住1550","1550 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","ショッピング","N","33.515518","135.601379"
"738","井戸上モータース","Idoue Motors","有田郡有田川町大字二川766‐5","766-5 Futagawa, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","その他","N","34.070431","135.356689"
"739","祝砲酒造株式会社","Shukuhou Shuzou Co., Ltd.","和歌山市田中町2丁目20","2-20 Tanakamachi, Wakayama-shi","和歌山市エリア","ショッピング","N","34.228279","135.186096"
"740","有限会社共進自動車サービス","Kyoshin Jidosha Service Co., Ltd.","西牟婁郡上富田町岩崎33-1","33-1 Iwasaki, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.680504","135.406723"
"741","ＡＫＩＲＡＡＵＴＯ","AKIRAAUTO Car Body Shop","東牟婁郡那智勝浦町大字湯川875-20","875-20 Yukawa, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N","33.62215","135.929871"
"742","有限会社鈴森自動車","Suzumori Auto Co., Ltd.","東牟婁郡那智勝浦町大字湯川897‐99","897-99 Yukawa, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N","33.623947","135.935974"
"743","すぎたに鍼灸接骨院","Sugitani Acupuncture/Bonesetter","和歌山市土入73‐1","73-1 Donyu, Wakayama-shi","和歌山市エリア","その他","N","34.25285","135.146057"
"744","カーテラス","Car Terrace Automobile Dealer","和歌山市毛見1437‐102","1437-102 Kemi, Wakayama-shi","和歌山市エリア","その他","N","34.159393","135.187866"
"745","富士屋","Fujiya CD DVD Video Shop","有田郡湯浅町大字湯浅2162‐8","2162-8 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","ショッピング","N","34.036827","135.186432"
"746","熊野那智大社　社務所","Kumano Nachi Grand Shrine Office","東牟婁郡那智勝浦町大字那智山1","1 Nachisan, Nachikatsuuracho, Higashimuro-gun","熊野エリア","観光スポット,その他","N","33.669655","135.892197"
"747","熊野那智大社　飛滝授与所","Kumano Nachi Grand Shrine, Otakijuyosho","東牟婁郡那智勝浦町大字那智山999飛滝授与所","Otakijuyosho, 999 Nachisan, Nachikatsuuracho, Higashimuro-gun","熊野エリア","観光スポット,その他","N","33.669655","135.892197"
"748","動物園（和歌山公園）","Zoo（Wakayama Park ）","和歌山市一番丁3","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"749","和歌山県立　紀北青少年の家","Wakayama Prefectural Kihoku Youth House","伊都郡かつらぎ町中飯降1317-3","1317-3 Nakaiburi, Katsuragicho, Ito-gun","高野山エリア","その他","N","34.308296","135.536987"
"750","二の丸庭園（和歌山公園）","Ninomaru Garden（Wakayama Park ）","和歌山市一番丁3","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"751","ＮＴＴ西日本　元町別館","NTT West Motomachi Annex","田辺市上の山1-15-29","15-29 Uenoyama, Tanabe-shi","熊野エリア","その他","N","33.738541","135.366821"
"752","和歌山県立博物館","Wakayama Prefectural Museum","和歌山市吹上1-4-14","1-4-14 Fukiage, Wakayama-shi","和歌山市エリア","観光スポット","L","34.224201","135.171021"
"753","和歌山県立近代美術館","Wakayama Prefectural Museum  of Modern Art","和歌山市吹上1-4-14","1-4-14 Fukiage, Wakayama-shi","和歌山市エリア","観光スポット","L","34.224201","135.171021"
"754","和歌山県立自然博物館","Wakayama Prefectural Museum of Natural History","海南市船尾370-1","370-1 Funoo, Kainan-shi","和歌山市エリア","観光スポット","L","34.157879","135.194473"
"755","和歌山県立紀伊風土記の丘","Wakayama Prefecture Kii-fudoki-no-oka Museum of Archaeology and Folklore","和歌山市岩橋1411","1411 Iwase, Wakayama-shi","和歌山市エリア","観光スポット","L","34.227093","135.224884"
"756","和歌山県立秋葉山公園県民水泳場（あきばさんプール）","Wakayama Akibasan Park Public Swimming Pool","和歌山市秋葉町4-11","4-11 Akibacho, Wakayama-shi","和歌山市エリア","その他","L","34.199745","135.170624"
"757","和歌山県立わかやま館","Wakayama Tourist Support Center Wakayamakan","和歌山市毛見1520","1520 Kemi, Wakayama-shi","和歌山市エリア","観光スポット","L","34.153088","135.178024"
"758","和歌山県立図書館（きのくに志学館）","Wakayama Prefectural Library  (Kinokuni Shigakukan)","和歌山市西高松1-7-38","1-7-38 Nishitakamatsu, Wakayama-shi","和歌山市エリア","その他","L","34.207653","135.169907"
"759","和歌山県立紀三井寺公園陸上競技場","Wakayama Prefectural Kimiidera Park Athletic Field","和歌山市毛見200","200 Kemi, Wakayama-shi","和歌山市エリア","その他","L","34.163319","135.189346"
"760","和歌山県民文化会館","Wakayama Bunkakaikan Cultural Hall","和歌山市小松原通1丁目1番地","1-1 Komatsubaradori, Wakayama-shi","和歌山市エリア","その他","L","34.225273","135.169479"
"761","和歌山県民交流プラザ・和歌山ビッグ愛","Wakayama Community Plaza Wakayama Big Ai","和歌山市手平2-1-2","2-1-2 Tebira, Wakayama-shi","和歌山市エリア","その他","L","34.218658","135.190033"
"762","多目的ホール・和歌山ビッグホエール","Wakayama Community Plaza Wakayama Big Whale","和歌山市手平2-1-1","2-1-1 Tebira, Wakayama-shi","和歌山市エリア","その他","L","34.218658","135.190033"
"763","中井水産","Nakai Sea Food","和歌山市雑賀崎762","762 Saikazaki, Wakayama-shi","和歌山市エリア","ショッピング","N","34.191654","135.141403"
"764","ふくろうの湯","Public Bath Fukuro no Yu","和歌山市本町2-1","2-1 Honmachi, Wakayama-shi","和歌山市エリア","グルメ,その他","N","34.234177","135.174149"
"765","マサキ珈琲","Masaki Coffee Dining","和歌山市福島613","613 Fukushima, Wakayama-shi","和歌山市エリア","グルメ","N","34.248245","135.160492"
"766","ＮＴＴ西日本　和歌山支店","NTT Nishinihon Wakayama Branch","和歌山市一番丁5番地","5 Ichibancho, Wakayama-shi","和歌山市エリア","その他","N","34.229412","135.175308"
"767","和歌山電工株式会社","Wakayama Denko Electrics Co., Ltd.","田辺市神子浜1-20-12","1-20-12 Mikonohama, Tanabe-shi","熊野エリア","その他","N","33.723568","135.386673"
"768","和歌山電工株式会社　神子浜２","Wakayama Denko Electrics Co., Ltd. Mikonohama 2","田辺市神子浜2‐20‐7","2-20-7 Mikonohama, Tanabe-shi","熊野エリア","その他","N","33.722054","135.385971"
"769","くじらの博物館","Taiji Whale Museum","東牟婁郡太地町大字太地2934","2934 Taiji, Taijicho, Higashimuro-gun","熊野エリア","グルメ,ショッピング,観光スポット,その他","N","33.588497","135.944016"
"770","勝浦　まぐろ三昧那智","magurozanmai～Ｎａｃｈｉ～　Seafood Restaurant","東牟婁郡那智勝浦町大字築地2丁目3-10","2-3-10 Tsukiji, Nachikatsuuracho, Higashimura-gun","熊野エリア","グルメ","N","33.628716","135.943176"
"771","和歌山県土砂災害啓発センター","Wakayama Sabo Research and Education Institute","東牟婁郡那智勝浦町市野々字火打川3027番6","3027-6 Ichinonohiuchigawa, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","L","33.662937","135.910599"
"772","株式会社エヌ・ティ・ティマーケティングアクト","NTT Marketing ACT  Co.,Ltd., contact center","和歌山市太田4丁目4番41号NTT和歌山東ﾋﾞﾙ 事務棟3階","NTT Wakayama Higashi  Administrative Office Bldg. 3F, 4-4-41 Oda, Wakayama-shi","和歌山市エリア","その他","N","34.228806","135.196335"
"773","中国料理　悟空","Chinese Restaurant Goku","岩出市中黒432-1","432-1 Nakakuro, Iwade-shi","和歌山市エリア","グルメ","N","34.271229","135.286606"
"774","紅葉渓庭園（和歌山公園）","Wakayama Castle Momiji-dani Garden box office","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"775","岡口門（和歌山公園）","Wakayama Castle Okaguchimon Parking Public Restroom","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"776","天守閣前売店（和歌山公園）","Wakayama Castle Tenshukakumae Store","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"777","紅松庵（和歌山公園）","Wakayama Castle Tea Room Koshoan","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"778","わかやま歴史館・和歌山市観光土産品センター","Wakayama castle Museum of History","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","グルメ,ショッピング,観光スポット,その他","N","34.227993","135.172134"
"779","砂の丸広場（和歌山公園）","Wakayama Castle Sunanomaru","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"780","不明門（和歌山公園）","Wakayama Castle Fumeimon Parking Public Restroom","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"781","街灯（和歌山公園）","Wakayama Castle Street light","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"782","大手門（和歌山公園）","Wakayama Castle Otemon Parking Public Restroom","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N","34.227993","135.172134"
"783","若葉オート","Wakaba Auto, car dealer & maintenance","和歌山市冬野1601‐1","1601-1 Fuyuno, Wakayama-shi","和歌山市エリア","その他","N","34.179478","135.212753"
"784","ＺＥＡＬＳＴＡＧＥ―３","ZEALSTAGE-3, hair salon","和歌山市西庄354‐1","354-1 Nishinosho, Wakayama-shi","和歌山市エリア","その他","N","34.258411","135.114151"
"785","ＺＥＡＬＳＴＡＧＥ―２","ZEALSTAGE-2, hair salon","和歌山市平井145","145 Hirai, Wakayama-shi","和歌山市エリア","その他","N","34.259174","135.169998"
"786","カークラブオズ","Car club OZ Auto dealer","新宮市佐野3丁目2‐13","3-2-13 Sano, Shingu-shi","熊野エリア","その他","N","33.677166","135.972229"
"787","美容室ののはな","Biyoshitsu Nonohana, hair salon","和歌山市永穂339‐4","339-4 Nango, Wakayama-shi","和歌山市エリア","その他","N","34.258121","135.247131"
"788","キャラメルベベ","Caramel Bebe, hair salon","和歌山市園部864‐11","864-11 Sonobe, Wakayama-shi","和歌山市エリア","その他","N","34.262142","135.194412"
"789","シンクモーターガレージ","think Motor Garage","和歌山市吉礼1119","1119 Kire, Wakayama-shi","和歌山市エリア","その他","N","34.205387","135.234146"
"790","古賀浦サービス","Kogoura service Auto repair","西牟婁郡白浜町2762‐3","2762-3 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.669189","135.402939"
"791","有限会社共和モータース","Kyowa Motors Co.,Ltd., auto garage","和歌山市松島200‐5","200-5 Matsushima, Wakayama-shi","和歌山市エリア","その他","N","34.244061","135.210724"
"792","大塔ダイハツ","Oto Daihatsu Automobile Dealer","田辺市鮎川597‐121","597-121 Ayukawa, Tanabe-shi","熊野エリア","その他","N","33.731274","135.505798"
"793","株式会社名豊トヨペット勝浦営業所","Meiho Toyopet Co., Ltd. Katsuura Branch","東牟婁郡那智勝浦町大字朝日3丁目94","3-94 Asahi, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N","33.629803","135.940948"
"794","Ｔ・ＰＲＯＪＥＣＴ","T PROJECT, motorcycle dealer","和歌山市坂田167","167 Sakada, Wakayama-shi","和歌山市エリア","その他","N","34.208389","135.202713"
"795","美容室ＪＡＭ","Beauty Salon Jam","橋本市高野口町 応其229‐5","229-5 Ougo, Kouyaguchicho, Hashimoto-shi","高野山エリア","その他","N","34.310818","135.5755"
"796","アブソーブ（Ａｂｓｏｒｂ）","Absorb hair works","岩出市水栖176‐15","176-15 Mizusu, Iwade-shi","和歌山市エリア","その他","N","34.269821","135.320496"
"797","ｐｌｕｓＨａｉｒＤｅｓｉｇｎ","plusHairDesign Beauty Parlor","田辺市稲成町298‐1","298-1 Inaricho, Tanabe-shi","熊野エリア","その他","N","33.742329","135.376892"
"798","ｈａｒｉ―ＨＡＩＲ","hari-HAIR, hair salon","和歌山市太田373‐5伊勢屋ﾋﾞﾙ2階","Iseya Bldg. 2F, 373-5 Oda, Wakayama-shi","和歌山市エリア","その他","N","34.231136","135.199417"
"799","ヘッズヘアー（Ｈ２Ｓｈａｉｒ）","H2S hair, hair salon","和歌山市狐島24‐4","24-4 Kitsunejima, Wakayama-shi","和歌山市エリア","その他","N","34.247559","135.15062"
"800","カットハウスザ・ガーデン","Cut House The Garden","紀の川市貴志川町長原紀の川市貴志川町長原245‐3","245-3 Nagahara, Kishigawacho, Kinokawa-shi","和歌山市エリア","その他","N","34.214073","135.300964"
"801","ヘアーサロンサンライズ","Hair Salon Dunrise","伊都郡かつらぎ町大字妙寺118‐10","118-10 Myoji, Katsuragicho, Ito-gun","高野山エリア","その他","N","34.301022","135.52832"
"802","ｓｈｕ・ｈａｉｒ","shu hair, hair salon","和歌山市友田町5丁目33岩橋ﾋﾞﾙ3階","Iwahashi Bldg. 3F, 5-33 Tomodacho, Wakayama-shi","和歌山市エリア","その他","N","34.233707","135.189575"
"803","ａｍｅｉｒｏＨＡＩＲＤＥＳＩＧＮ","ameiro HAIRDESIGN","新宮市王子町3丁目6‐15","3-6-15 Ojicho, Shingu-shi","熊野エリア","その他","N","33.717155","136.003082"
"804","ｆｌｏｃｋ","flock, barber shop","有田市辻堂799‐2","799-2 Tsujido, Arida-shi","有田・湯浅・日高エリア","その他","N","34.07687","135.143265"
"805","美容室純","Beauty Salon Jun","橋本市市脇1丁目1‐1大平ﾋﾞﾙ1階","Ohira Building 1F, 1-1-1 Ichiwaki, Hashimoto-shi","高野山エリア","その他","N","34.314522","135.602966"
"806","トーイ美容室","Atelier Toy, hair salon","和歌山市松江716‐48","716-48 Matsue, Wakayama-shi","和歌山市エリア","その他","N","34.255192","135.137466"
"807","ＡＴＳ堺岩出店","ATS Sakai Iwade Store","岩出市溝川188‐1","188-1 Mizokawa, Iwade-shi","和歌山市エリア","その他","N","34.261208","135.325348"
"808","ｗｉｓｈＢ’ＷＡＶＥ","wishB'WAVE, hair salon","和歌山市野崎200‐10","200-10 Nozaki, Wakayama-shi","和歌山市エリア","その他","N","34.248146","135.158676"
"809","有限会社古座オート","Koza Auto Co., Ltd.","東牟婁郡 串本町西向110‐1","110-1 Nishimukai, Kushimotocho, Higashimuro-gun","熊野エリア","その他","N","33.521515","135.820114"
"810","きもと整骨院","Kimoto Osteopathic Clinic","田辺市あけぼの2‐41赤木ﾋﾞﾙ1階","Akagi Bldg. 1F, 2-41 Akebono, Tanabe-shi","熊野エリア","その他","N","33.730537","135.390381"
"811","ＬＩＰＳＴＩＣＫ","LIP STICK, hair salon","和歌山市内原520‐1","520-1 Uchihara, Wakayama-shi","和歌山市エリア","その他","N","34.175598","135.204666"
"812","なすオート株式会社","Nasu Auto Co., Ltd.","田辺市上の山1丁目5‐2","1-5-2 Uenoyama, Tanabe-shi","熊野エリア","その他","N","33.736549","135.367264"
"813","飛鳥美容室","Beauty Salon Asuka","御坊市島172","172 Shima, Gobo-shi","有田・湯浅・日高エリア","その他","N","33.893654","135.158218"
"814","ヘアーメイク・グルーヴ","Hair Make Salon Groove","御坊市塩屋町北塩屋693‐3<ﾃﾅﾝﾄ>ﾌｨﾝ1階","Tenant Fin 1F, 693-3 Kitashioya, Shioyacho, Gobo-shi","有田・湯浅・日高エリア","その他","N","#VALUE!","#VALUE!"
"815","スマイル","Smile Nursing service","新宮市蓬莱3丁目2‐27","3-2-27 Horai, Shingu-shi","熊野エリア","その他","N","33.724579","135.99733"
"816","ＣｈｏｕＣｈｏｕ","Chou Chou Beauty Parlor","和歌山市神前136‐5","136-5 Kozaki, Wakayama-shi","和歌山市エリア","その他","N","34.213512","135.207855"
"817","シエル（Ｃｉｅｌ）","Ciel Beauty Parlor","和歌山市小雑賀583‐1ｸﾞﾘｰﾝﾌﾙ小雑賀1階","Greenful Kozaika 1F, 583-1 Kozaika, Wakayama-shi","和歌山市エリア","その他","N","34.202606","135.185074"
