"店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類"
"清水獣医科病院","Shimizu Veterinarian Clinic","東牟婁郡太地町大字森浦551-83","551-83 Oaza Moriura  Taiji-cho Higashimurogun","熊野エリア","その他","N"
"隅田歯科医院","Suda Dental Clinic","橋本市隅田町垂井73","73 Sudachotarui Hashimoto-shi","高野山エリア","その他","N"
"川福燃料東和歌山","Kawafuku Nenryo Higashi-wakayama Gas station","和歌山市吉田392","392 Yoshida Wakayama-shi","和歌山市エリア","その他","N"
"坂田石油","Sakata Sekiyu Gas station","橋本市岸上406","406 Kishigami Hashimoto-shi","高野山エリア","その他","N"
"和歌山米油販売　四ケ郷給油所","Wakayama Beiyu Hambai, Shikago SS","和歌山市松島97-1","97-1 Matsushima Wakayama-shi","和歌山市エリア","その他","N"
"ＹＮＤデザイン事務所","YND Design Office","和歌山市小野町1丁目27武部ﾏﾝｼｮﾝ1階","1F Takebe Mansion, 1-27 Onomachi Wakayama-shi","和歌山市エリア","その他","N"
"和歌山米油販売　本社","Wakayama Beiyu Hambai, Head Office","和歌山市次郎丸7","7 Jiromaru Wakayama-shi","和歌山市エリア","ショッピング","N"
"マサキ珈琲","Masaki Coffee","和歌山市中島546-1","546-1 Nakajima Wakayama-shi","和歌山市エリア","グルメ","N"
"万福寺","Mampukuj Temple","和歌山市松江西3丁目2-38","3-2-38 Matsuenishi Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"温山荘園","Onzansoen","海南市船尾370","370 Funo Kainan-shi","和歌山市エリア","観光スポット","N"
"ワコールショップＲＩＫＡ","Wacoal Shop RIKA","岩出市中迫147ﾐﾚﾆｱｼﾃｨ岩出店 1階"," 1F MILLENIA CITY Supermarket Iwade store, 147 Nakabusa Iwade-shi","和歌山市エリア","ショッピング","N"
"和歌山電鉄　貴志駅","Wakayama Electric Railway Kishi Station","紀の川市貴志川町神戸803","803 Kishigawacho Koudo Kinokawa-shi","和歌山市エリア","公共交通","N"
"和歌山電鉄　伊太祈曽駅","Wakayama Electric Railway Idakiso Station","和歌山市伊太祈曽73","73 Idakiso Wakayama-shi","和歌山市エリア","公共交通","N"
"センザキ薬局","Senzaki Pharmacy","田辺市高雄1丁目14-34","1-14-34 Takao Tanabe-shi","熊野エリア","ショッピング","N"
"ようのき療整院","Yonoki Ryosei-in clinic","和歌山市北町25ｱｰﾊﾞﾝﾊｲﾂ1階","1F Urban Heights, 25 Kitamachi Wakayama-shi","和歌山市エリア","その他","N"
"きんかわ接骨院","Kinkawa Orthopedic Clinic","日高郡美浜町大字和田1146","1146 Oaza Wada Mihama-cho Hidakagun","有田・湯浅・日高エリア","その他","N"
"明光旅行社","Meiko Ryokosha","西牟婁郡白浜町堅田1385-6","1385-6 Katata Shirahama-cho Nishimurogun","白浜・串本エリア","その他","N"
"ポートインくじら浜","Port inn Kujirahama","東牟婁郡太地町大字太地2902-5","2902-5 Oaza Taiji Taiji-cho Higashimurogun","熊野エリア","グルメ","N"
"メルヘン","Marchen","西牟婁郡富田町生馬599-2","599-2 Ikuma Kamitonda-cho Nishimurogun","白浜・串本エリア","グルメ","N"
"ＴｏｎＴｏｎ","TonTon","橋本市紀見ｹ丘2丁目3-1","2-3-1 Kimigaoka Hashimoto-shi","高野山エリア","グルメ","N"
"セシボン","C'est Si Bon","御坊市藤田町吉田850-2","850-2 Fujitacho Yoshida Gobo-shi","有田・湯浅・日高エリア","グルメ","N"
"ＮＴＴ西日本　公園前ビル","NTT WEST Koen-mae Building","和歌山市一番丁5","5 Ichibancho Wakayama-shi","和歌山市エリア","その他","N"
"ＮＴＴ西日本　京橋別館","NTT WEST Kyobashi Bekkan","和歌山市十一番丁54","54 Juichibancho Wakayama-shi","和歌山市エリア","その他","N"
"松山整骨院","Matsuyama osteopathic clinic","和歌山市園部870","870 Sonobe Wakayama-shi","和歌山市エリア","その他","N"
"大浦整骨院","Oura osteopathic clinic","橋本市三石台1丁目3-1ﾌｫﾚｽﾄはしもと1階","Forest Hashimoto 1F, 1-3-1 Mitsuishidai Hashimoto-shi","高野山エリア","その他","N"
"園部接骨院","Sonobe orthopedic clinic","和歌山市園部433-5","433-5 Sonobe, Wakayama-shi","和歌山市エリア","その他","N"
"ホテル浦島案内所","Hotel Urashima information center","東牟婁郡那智勝浦町大字勝浦字中ﾉ町442番地19","442-19 Nakanocho, Katsuura Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","N"
"カーショップ・ユーズ","Car Shop Yu's","紀の川市東国分430‐2","430-2 Higashikokubun, Kinokawa-shi","和歌山市エリア","その他","N"
"中央鈑金塗装所","Chuo sheet-metal processing and painting","有田郡有田川町大字徳田178‐3","178-3 Tokuda, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"テイクオート","Take Auto","和歌山市築港4丁目5","4-5 Cikko, Wakayama-shi","和歌山市エリア","その他","N"
"ユーオートボディ","U-Auto Body","和歌山市川辺149","149 Kawabe, Wakayama-shi","和歌山市エリア","その他","N"
"ふじや商店","Fujiya Shoten","紀の川市粉河1797","1797 Kokawa, Kinokawa-shi","和歌山市エリア","ショッピング","N"
"殿山自動車","Tonoyama auto","西牟婁郡 上富田町朝来1314‐1","1314-1 Asso, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"紀和ホンダ株式会社","Kiwa Honda Co., Ltd.","橋本市学文路57‐1","57-1 Kamuro, Hashimoto-shi","高野山エリア","その他","N"
"白浜温泉旅館協同組合","Shirahamaonsen inns cooperative","西牟婁郡白浜町1650‐1","1650-1 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"ブルーライド","Blue Ride","田辺市宝来町21-14","21-14 Horaicho, Tanabe-shi","熊野エリア","その他","N"
"天徳院","Tentokuin(shukubo)","伊都郡高野町大字高野山370","370 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","N"
"和歌山外国語専門学校","Wakayama foreign language school","和歌山市駿河町21","21 Surugamachi, Wakayama-shi","和歌山市エリア","その他","N"
"潮風の休憩所","Shiokazeno Kyukeijo","東牟婁郡串本町潮岬2865ｰ1","2865-1 Shionomisaki, Kushimotocho, Higashimuro-gun","白浜・串本エリア","観光スポット,その他","N"
"株式会社シゲオカ","Shigeoka Co., Ltd.","橋本市神野々898","898 Konono, Hashimoto-shi","高野山エリア","その他","N"
"国民宿舎くろ潮","Kokuminshukusya Kuroshio","有田市宮崎町1562","1562 Miyazakicho, Arida-shi","有田・湯浅・日高エリア","宿泊","N"
"上西薬局","Uenishi pharmacy","西牟婁郡 白浜町2184","2184 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"南海橋本自動車学校","Nankaihashimoto driving school","橋本市野88","88 No, Hashimoto-shi","高野山エリア","その他","N"
"ミスタータイヤマンとみはら","Mr Tireman Tomihara","紀の川市打田63‐1","63-1 Uchita, Kinokawa-shi","和歌山市エリア","その他","N"
"ブティックＨ２Ｏ","Boutique H2O","田辺市下万呂577‐1Sunfest PLAZA 1階 ﾃﾅﾝﾄ","SunfestPLAZA 1F tenant, 577-1 Shimomaro, Tanabe-shi","熊野エリア","ショッピング","N"
"道の駅椿はなの湯","Michinoeki Tsubakihananoyu","西牟婁郡白浜町椿1058‐1","1058-1 Tsubaki, Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング,観光スポット,その他","N"
"夢飛行","Yumehiko","海南市名高537‐4堀田ﾋﾞﾙ 2階","Hotta Bldg. 2F, 537-4 Nataka, Kainan-shi","和歌山市エリア","その他","N"
"おしゃれ空間","Oshare kukan","日高郡日高町大字荊木3‐9おしゃれ空間","Osyare kukan, 3-9 Ibaraki, Hidagacho, Hidaka-gun","有田・湯浅・日高エリア","その他","N"
"潮音寺","choon temple","西牟婁郡すさみ町江住959","959 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","N"
"和歌山国際厚生学院","Wakayama kokusai kosei gakuin","和歌山市北野229‐2","229-2 Kitano, Wakayama-shi","和歌山市エリア","その他","N"
"Ｍ・Ｋ・ｆａｒｍ","M.K. farm","和歌山市中ﾉ店南ﾉ丁10","10 Minaminocho, Nakanotana, Wakayama-shi","和歌山市エリア","ショッピング","N"
"キタノヤ化粧品店","Kitanoya cosmetics store","東牟婁郡串本町串本940‐2","940-2 Kushimoto, Kushimotocho Higashimuro-gun ","白浜・串本エリア","ショッピング","N"
"伊勢部柿本神社","Isebekakimoto shrine","海南市日方600","600 Hikata, Kainan-shi","和歌山市エリア","観光スポット,その他","N"
"婦久家","Fukuya","海南市多田121","121 Ota, Kainan-shi","和歌山市エリア","グルメ","N"
"ＰＣハウスＫｉｔ","PC house kit","有田郡有田川町大字下津野1228‐6","1228-6 Shimotsuno, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","ショッピング","N"
"はーとぼっくす工房","Heart box workshop","和歌山市布施屋729","729 Hoshiya, Wakayama-shi","和歌山市エリア","ショッピング","N"
"メガネストック勝浦店","Eye glasses stock Katsuura store","東牟婁郡 那智勝浦町大字天満1丁目75田中旦ﾋﾞﾙ 1階","Tanaka Akira Bldg. 1F, 1-75 Tenman, Nachikatsuuracho, Higashimuro-gun","熊野エリア","ショッピング","N"
"ＲＯＳＳＯ","Rosso","和歌山市次郎丸57‐1ﾈｵﾊｲﾂ次郎丸 1階","Neo Heights Jiromaru 1F, 57-1 Jiromaru, Wakayama-shi","和歌山市エリア","その他","N"
"ｈａｉｒ・ａ．ｔ","Hair a.t","和歌山市黒田255‐5YOUbuld黒田 1階","YOUbuld Kuroda 1F, 255-5 Kuroda, Wakayama-shi","和歌山市エリア","その他","N"
"紡","Tsumugi","岩出市川尻14‐1ﾌｫﾚｽﾄﾎﾞｯｸｽ1階","Forest Box 1F, 14-1 Kawashiri, Iwade-shi","和歌山市エリア","グルメ","N"
"エスクラス","S class","岩出市今中154‐10","154-10 Imanaka, Iwade-shi","和歌山市エリア","その他","N"
"ルナ生物店","Runa pet shop","和歌山市西高松2丁目9‐6","2-9-6 Nishitakamatsu, Wakayama-shi","和歌山市エリア","ショッピング","N"
"株式会社成美田辺店","Narumi Tanabe store Co., Ltd.","田辺市神島台9‐14","Narumi Co., Ltd., 9-14 Kashimadai, Tanabe-shi","熊野エリア","ショッピング","N"
"藤井計算実務学校","Fujii soroban school","和歌山市太田586","586 Oda, Wakayama-shi","和歌山市エリア","その他","N"
"個別指導Ａｘｉｓ紀伊御坊駅前校","Private lesson Axis cram school  Kiigoboekimae branch","御坊市薗112‐1","112-1, Sono Gobo-shi","有田・湯浅・日高エリア","その他","N"
"めはりや","Mehariya restaurant","和歌山市太田2丁目14‐9東不動産太田ﾋﾞﾙ 103号","Higashi fudosan Ota Bldg. Rm. 103, 2-14-9 Oda, Wakayama-shi","和歌山市エリア","グルメ","N"
"有限会社コクピットきねいわ","Cockpit Kineiwa Co., Ltd. Bridgestone retail","田辺市新庄町437‐138","437-138 Shinjocho, Tanabe-shi","熊野エリア","その他","N"
"株式会社シータイガー・トービマリン","Sea-Tiger Tobi marine Co., Ltd.","田辺市天神崎38‐20ｼｰﾀｲｶﾞｰｸﾙﾌｨｽﾎﾟｰﾄ","Sea-Tiger Kulfi sport, 38-20 Tenjinsaki, Tanabe-shi","熊野エリア","その他","N"
"菓子工房エヌプリュス","Kashikobo N'plus sweets","橋本市高野口町大野866‐6","866-6 Koyaguchicho Ono, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N"
"天理教　竹南水分教会","Tenrikyo Takenansuibun church","海南市冷水492‐3","492-3 Shimizu, Kainan-shi","和歌山市エリア","その他","N"
"西田貞蔵商店","Nishida teizo shoten furniture store","御坊市湯川町財部654‐4","654-4 Yukawachotakara, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N"
"モトブーイング","Motobooing motorcycle","田辺市上の山2丁目15‐37","2-15-37 Uenoyama, Tanabe-shi","熊野エリア","その他","N"
"カットスタジオ・ケイズ","Cut Studio K's","岩出市山1005‐3","1005-3 Yama, Iwade-shi","和歌山市エリア","その他","N"
"ＮＴＴ海南ビル","NTT Kainan building","海南市日方1523-2","1523-2 Hikata, Kainan-shi","和歌山市エリア","その他","N"
"ＮＴＴ和歌山東ビル","NTT Wakayama Higashi Bldg.","和歌山市太田287","287 Oda, Wakayama-shi","和歌山市エリア","その他","N"
"箕島屋支店","Minoshimaya branch fishing tackle shop","御坊市薗120‐8","120-8 Sono, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N"
"シティ　ｉｎｎ　ＷＡＫＡＹＡＭＡ","City inn WAKAYAMA","和歌山市吉田432","432 Yoshida, Wakayama-shi","和歌山市エリア","宿泊","N"
"メガネのヒラミ","Optician Hirami","新宮市新宮6853‐22","6853-22 Shingu, Shingu-shi","熊野エリア","ショッピング","N"
"ＮＴＴ宇須ビル","NTT Uzu building","和歌山市宇須1-5-41","1-5-41 Uzu, Wakayama-shi","和歌山市エリア","その他","N"
"アノマーティコ","Aromatico Beauty Parlor","和歌山市美園町5丁目12-7","5-12-7 Misonocho, Wakayama-shi","和歌山市エリア","その他","N"
"七田チャイルドアカデミー紀三井寺教室","Shichida child academy Kimiidera school","和歌山市布引618‐1","618-1 Nunohiki, Wakayama-shi","和歌山市エリア","その他","N"
"中原歯科医院","Nakahara dental clinic","和歌山市西庄387‐1","387-1 Nishinosho, Wakayama-shi","和歌山市エリア","その他","N"
"センゴクベンダー本社","Sengoku Vender head office vending machine operation","和歌山市出島409-5","409-5 Dejima, Wakayama-shi","和歌山市エリア","その他","N"
"ＦＬＡＴ-ＨＡＩＲ・ＣＵＴＴＥＲＳ","Flat-Haircutters hair salon","紀の川市名手市場714‐1","714-1 Nateichiba, Kinokawa-shi","和歌山市エリア","その他","N"
"久保呉服店","Kubo Kimono shop","和歌山市友田町2丁目61","2-61 Tomodacho, Wakayama-shi","和歌山市エリア","ショッピング","N"
"和歌山市役所　東庁舎２階","Wakayama City Hall East Building 2F","和歌山市七番丁23番地","23 Shichibancho Wakayama-shi","和歌山市エリア","その他","N"
"岡本整骨院","Okamoto bone setting clinic","海南市船尾194‐96","194-96 Funoo, Kainan-shi","和歌山市エリア","その他","N"
"岩橋歯科医院","Iwahashi dental clinic","和歌山市三木町中ﾉ丁1LETOﾌﾟﾗｻﾞ 10階","LETO Plaza 10F, 1 Nakanocho, Mikimachi, Wakayama-shi","和歌山市エリア","その他","N"
"かわの動物病院","Kawano animal hospital","和歌山市紀三井寺535-15","535-15 Kimiidera, Wakayama-shi","和歌山市エリア","その他","N"
"西田電気店","Nishida denkiten Electronics Store","東牟婁郡 古座川町高池27‐4","27-4 Takaike, Kozagawacho, Higashimuro-gun","白浜・串本エリア","ショッピング","N"
"オザキ自動車","Ozaki Automobile Repair Shop","東牟婁郡 串本町姫603","603 Hime, Kushimotocho, Higashimuro-gun","白浜・串本エリア","その他","N"
"きくや旅館","Watada Auto","伊都郡 かつらぎ町大字妙寺440","440 Myoji, Katsuragicho, Ito-gun","高野山エリア","その他","N"
"ＫＳサービス","KS service","和歌山市栗栖322‐5","322-5 Kurosu, Wakayama-shi","和歌山市エリア","その他","N"
"南川モータース","Minagawa motors","和歌山市東長町2丁目35","2-35 Higashinagamachi, Wakayama-shi","和歌山市エリア","その他","N"
"イズミカーズ","Izumi Cars","橋本市高野口町向島43‐1","43-1 Mukojima, Koyaguchicho, Hashimoto-shi","高野山エリア","その他","N"
"Ｋ―ＭＡＸ・ＡＵＴＯ","K-MAX AUTO","和歌山市口須佐16‐7","16-7 Kuchisusa, Wakayama-shi","和歌山市エリア","その他","N"
"伸洋自動車","Shinyo automobile","田辺市下三栖1310‐3","1310-3 Shimomisu, Tanabe-shi","熊野エリア","その他","N"
"東伸自動車","Toshin automobile","岩出市森114‐3","114-3 Mori, Iwade-shi","和歌山市エリア","その他","N"
"スズキ商事株式会社","Suzuki Shoji Co., Ltd.","和歌山市小雑賀598","598 Kozaika, Wakayama-shi","和歌山市エリア","その他","N"
"有限会社昭和自動車整備工場","Showa jidosha seibi kojyo Co., Ltd.","西牟婁郡白浜町大古494‐2","494-2 Oofuru, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"プチショップ有田店","Petit Shop Aria branch liquor shop","有田市初島町浜1376‐1","1376-1 Hama, Hatsushimacho, Arida-shi","有田・湯浅・日高エリア","ショッピング","N"
"カーメンテナンスグッドスピード","Can maintenance Good Speed","田辺市文里1丁目18‐6","1-18-6 Mori, Tanabe-shi","熊野エリア","その他","N"
"岸野酒造","Kishinev brewing","御坊市御坊60","60 Gobo, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N"
"ＲＳモーター","RS Motor","田辺市芳養松原1丁目1-19","1-1-19 Hayamatsubara, Tanabe-shi","熊野エリア","その他","N"
"堀酒店","Hori Liquor Shop","東牟婁郡串本町串本1900‐1","1900-1 Kushimoto, Kushimotocho, Higashimuro-gun","白浜・串本エリア","ショッピング","N"
"森下商店","Morishita Store","西牟婁郡すさみ町江住1550","1550 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","ショッピング","N"
"井戸上モータース","Idoue Motors","有田郡有田川町大字二川766‐5","766-5 Futagawa, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"祝砲酒造株式会社","Shukuhou Shuzou Co., Ltd.","和歌山市田中町2丁目20","2-20 Tanakamachi, Wakayama-shi","和歌山市エリア","ショッピング","N"
"有限会社共進自動車サービス","Kyoshin Jidosha Service Co., Ltd.","西牟婁郡上富田町岩崎33-1","33-1 Iwasaki, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"ＡＫＩＲＡＡＵＴＯ","AKIRAAUTO Car Body Shop","東牟婁郡那智勝浦町大字湯川875-20","875-20 Yukawa, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N"
"有限会社鈴森自動車","Suzumori Auto Co., Ltd.","東牟婁郡那智勝浦町大字湯川897‐99","897-99 Yukawa, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N"
"すぎたに鍼灸接骨院","Sugitani Acupuncture/Bonesetter","和歌山市土入73‐1","73-1 Donyu, Wakayama-shi","和歌山市エリア","その他","N"
"カーテラス","Car Terrace Automobile Dealer","和歌山市毛見1437‐102","1437-102 Kemi, Wakayama-shi","和歌山市エリア","その他","N"
"富士屋","Fujiya CD DVD Video Shop","有田郡湯浅町大字湯浅2162‐8","2162-8 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","ショッピング","N"
"熊野那智大社　社務所","Kumano Nachi Grand Shrine Office","東牟婁郡那智勝浦町大字那智山1","1 Nachisan, Nachikatsuuracho, Higashimuro-gun","熊野エリア","観光スポット,その他","N"
"熊野那智大社　飛滝授与所","Kumano Nachi Grand Shrine, Otakijuyosho","東牟婁郡那智勝浦町大字那智山999飛滝授与所","Otakijuyosho, 999 Nachisan, Nachikatsuuracho, Higashimuro-gun","熊野エリア","観光スポット,その他","N"
"動物園（和歌山公園）","Zoo（Wakayama Park ）","和歌山市一番丁3","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"和歌山県立　紀北青少年の家","Wakayama Prefectural Kihoku Youth House","伊都郡かつらぎ町中飯降1317-3","1317-3 Nakaiburi, Katsuragicho, Ito-gun","高野山エリア","その他","N"
"二の丸庭園（和歌山公園）","Ninomaru Garden（Wakayama Park ）","和歌山市一番丁3","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"ＮＴＴ西日本　元町別館","NTT West Motomachi Annex","田辺市上の山1-15-29","15-29 Uenoyama, Tanabe-shi","熊野エリア","その他","N"
"和歌山県立博物館","Wakayama Prefectural Museum","和歌山市吹上1-4-14","1-4-14 Fukiage, Wakayama-shi","和歌山市エリア","観光スポット","L"
"和歌山県立近代美術館","Wakayama Prefectural Museum  of Modern Art","和歌山市吹上1-4-14","1-4-14 Fukiage, Wakayama-shi","和歌山市エリア","観光スポット","L"
"和歌山県立自然博物館","Wakayama Prefectural Museum of Natural History","海南市船尾370-1","370-1 Funoo, Kainan-shi","和歌山市エリア","観光スポット","L"
"和歌山県立紀伊風土記の丘","Wakayama Prefecture Kii-fudoki-no-oka Museum of Archaeology and Folklore","和歌山市岩橋1411","1411 Iwase, Wakayama-shi","和歌山市エリア","観光スポット","L"
"和歌山県立秋葉山公園県民水泳場（あきばさんプール）","Wakayama Akibasan Park Public Swimming Pool","和歌山市秋葉町4-11","4-11 Akibacho, Wakayama-shi","和歌山市エリア","その他","L"
"和歌山県立わかやま館","Wakayama Tourist Support Center Wakayamakan","和歌山市毛見1520","1520 Kemi, Wakayama-shi","和歌山市エリア","観光スポット","L"
"和歌山県立図書館（きのくに志学館）","Wakayama Prefectural Library  (Kinokuni Shigakukan)","和歌山市西高松1-7-38","1-7-38 Nishitakamatsu, Wakayama-shi","和歌山市エリア","その他","L"
"和歌山県立紀三井寺公園陸上競技場","Wakayama Prefectural Kimiidera Park Athletic Field","和歌山市毛見200","200 Kemi, Wakayama-shi","和歌山市エリア","その他","L"
"和歌山県民文化会館","Wakayama Bunkakaikan Cultural Hall","和歌山市小松原通1丁目1番地","1-1 Komatsubaradori, Wakayama-shi","和歌山市エリア","その他","L"
"和歌山県民交流プラザ・和歌山ビッグ愛","Wakayama Community Plaza Wakayama Big Ai","和歌山市手平2-1-2","2-1-2 Tebira, Wakayama-shi","和歌山市エリア","その他","L"
"多目的ホール・和歌山ビッグホエール","Wakayama Community Plaza Wakayama Big Whale","和歌山市手平2-1-1","2-1-1 Tebira, Wakayama-shi","和歌山市エリア","その他","L"
"中井水産","Nakai Sea Food","和歌山市雑賀崎762","762 Saikazaki, Wakayama-shi","和歌山市エリア","ショッピング","N"
"ふくろうの湯","Public Bath Fukuro no Yu","和歌山市本町2-1","2-1 Honmachi, Wakayama-shi","和歌山市エリア","グルメ,その他","N"
"マサキ珈琲","Masaki Coffee Dining","和歌山市福島613","613 Fukushima, Wakayama-shi","和歌山市エリア","グルメ","N"
"ＮＴＴ西日本　和歌山支店","NTT Nishinihon Wakayama Branch","和歌山市一番丁5番地","5 Ichibancho, Wakayama-shi","和歌山市エリア","その他","N"
"和歌山電工株式会社","Wakayama Denko Electrics Co., Ltd.","田辺市神子浜1-20-12","1-20-12 Mikonohama, Tanabe-shi","熊野エリア","その他","N"
"和歌山電工株式会社　神子浜２","Wakayama Denko Electrics Co., Ltd. Mikonohama 2","田辺市神子浜2‐20‐7","2-20-7 Mikonohama, Tanabe-shi","熊野エリア","その他","N"
"くじらの博物館","Taiji Whale Museum","東牟婁郡太地町大字太地2934","2934 Taiji, Taijicho, Higashimuro-gun","熊野エリア","グルメ,ショッピング,観光スポット,その他","N"
"勝浦　まぐろ三昧那智","magurozanmai～Ｎａｃｈｉ～　Seafood Restaurant","東牟婁郡那智勝浦町大字築地2丁目3-10","2-3-10 Tsukiji, Nachikatsuuracho, Higashimura-gun","熊野エリア","グルメ","N"
"和歌山県土砂災害啓発センター","Wakayama Sabo Research and Education Institute","東牟婁郡那智勝浦町市野々字火打川3027番6","3027-6 Ichinonohiuchigawa, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","L"
"株式会社エヌ・ティ・ティマーケティングアクト","NTT Marketing ACT  Co.,Ltd., contact center","和歌山市太田4丁目4番41号NTT和歌山東ﾋﾞﾙ 事務棟3階","NTT Wakayama Higashi  Administrative Office Bldg. 3F, 4-4-41 Oda, Wakayama-shi","和歌山市エリア","その他","N"
"中国料理　悟空","Chinese Restaurant Goku","岩出市中黒432-1","432-1 Nakakuro, Iwade-shi","和歌山市エリア","グルメ","N"
"紅葉渓庭園（和歌山公園）","Wakayama Castle Momiji-dani Garden box office","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"岡口門（和歌山公園）","Wakayama Castle Okaguchimon Parking Public Restroom","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"天守閣前売店（和歌山公園）","Wakayama Castle Tenshukakumae Store","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"紅松庵（和歌山公園）","Wakayama Castle Tea Room Koshoan","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"わかやま歴史館・和歌山市観光土産品センター","Wakayama castle Museum of History","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","グルメ,ショッピング,観光スポット,その他","N"
"砂の丸広場（和歌山公園）","Wakayama Castle Sunanomaru","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"不明門（和歌山公園）","Wakayama Castle Fumeimon Parking Public Restroom","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"街灯（和歌山公園）","Wakayama Castle Street light","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"大手門（和歌山公園）","Wakayama Castle Otemon Parking Public Restroom","和歌山市一番丁3和歌山城内","3 Ichibancho, Wakayama-shi","和歌山市エリア","観光スポット,その他","N"
"若葉オート","Wakaba Auto, car dealer & maintenance","和歌山市冬野1601‐1","1601-1 Fuyuno, Wakayama-shi","和歌山市エリア","その他","N"
"ＺＥＡＬＳＴＡＧＥ―３","ZEALSTAGE-3, hair salon","和歌山市西庄354‐1","354-1 Nishinosho, Wakayama-shi","和歌山市エリア","その他","N"
"ＺＥＡＬＳＴＡＧＥ―２","ZEALSTAGE-2, hair salon","和歌山市平井145","145 Hirai, Wakayama-shi","和歌山市エリア","その他","N"
"カークラブオズ","Car club OZ Auto dealer","新宮市佐野3丁目2‐13","3-2-13 Sano, Shingu-shi","熊野エリア","その他","N"
"美容室ののはな","Biyoshitsu Nonohana, hair salon","和歌山市永穂339‐4","339-4 Nango, Wakayama-shi","和歌山市エリア","その他","N"
"キャラメルベベ","Caramel Bebe, hair salon","和歌山市園部864‐11","864-11 Sonobe, Wakayama-shi","和歌山市エリア","その他","N"
"シンクモーターガレージ","think Motor Garage","和歌山市吉礼1119","1119 Kire, Wakayama-shi","和歌山市エリア","その他","N"
"古賀浦サービス","Kogoura service Auto repair","西牟婁郡白浜町2762‐3","2762-3 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"有限会社共和モータース","Kyowa Motors Co.,Ltd., auto garage","和歌山市松島200‐5","200-5 Matsushima, Wakayama-shi","和歌山市エリア","その他","N"
"大塔ダイハツ","Oto Daihatsu Automobile Dealer","田辺市鮎川597‐121","597-121 Ayukawa, Tanabe-shi","熊野エリア","その他","N"
"株式会社名豊トヨペット勝浦営業所","Meiho Toyopet Co., Ltd. Katsuura Branch","東牟婁郡那智勝浦町大字朝日3丁目94","3-94 Asahi, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N"
"Ｔ・ＰＲＯＪＥＣＴ","T PROJECT, motorcycle dealer","和歌山市坂田167","167 Sakada, Wakayama-shi","和歌山市エリア","その他","N"
"美容室ＪＡＭ","Beauty Salon Jam","橋本市高野口町 応其229‐5","229-5 Ougo, Kouyaguchicho, Hashimoto-shi","高野山エリア","その他","N"
"アブソーブ（Ａｂｓｏｒｂ）","Absorb hair works","岩出市水栖176‐15","176-15 Mizusu, Iwade-shi","和歌山市エリア","その他","N"
"ｐｌｕｓＨａｉｒＤｅｓｉｇｎ","plusHairDesign Beauty Parlor","田辺市稲成町298‐1","298-1 Inaricho, Tanabe-shi","熊野エリア","その他","N"
